drug,att_improved,att_not_imp,att_diff,att_ratio,is_lipid_drug,category
Terazosin,0.03755438141524792,0.036469214994992526,0.0010851664202553915,1.0297556835375916,False,Other
Ampicillin-Sulbactam,0.029967765397343197,0.028899143040180205,0.0010686223571629919,1.0369776486339828,False,Other
Albumin 25%,0.01760546748033341,0.016536928822889048,0.0010685386574443637,1.0646153024475367,False,Other
Influenza Vaccine Quadrivalent,0.043060007792392475,0.04203234869600538,0.001027659096387093,1.0244492427444283,False,Other
Glycopyrrolate (CVICU Reversal Protocol),0.013429451547563077,0.012470092065632344,0.0009593594819307331,1.0769328307186066,False,Other
MetroNIDAZOLE,0.025384676383306447,0.024460516102386243,0.000924160280920204,1.0377817163404024,False,Other
Magnesium Sulfate,0.02355155575946879,0.022641190054846733,0.0009103657046220584,1.0402083857967166,False,Other
Tiotropium Bromide,0.02696618495420331,0.02605676755537184,0.0009094173988314705,1.034901389702269,False,Other
CefePIME,0.016929549062539132,0.016038449481129646,0.0008910995814094859,1.0555602075161896,False,Other
Metolazone,0.012182080633938313,0.011294180154800415,0.0008879004791378983,1.078615753155001,False,Other
Sodium CITRATE 4%,0.013117701513692737,0.012249917457146304,0.0008677840565464324,1.0708399921535952,False,Other
Epoetin alfa-epbx (Retacrit),0.017571112369092142,0.016706315002271106,0.0008647973668210358,1.0517646989598528,False,Other
Miconazole Powder 2%,0.02201853902079165,0.021166329570114613,0.000852209450677037,1.0402625050249759,False,Other
FoLIC Acid,0.02888688820087357,0.028046709325042416,0.0008401788758311546,1.0299564154244996,False,Other
Diltiazem,0.02208781008209501,0.021257346466882154,0.0008304636152128564,1.0390671345789408,False,CCB
Cisatracurium Besylate,0.01087841677169005,0.010048075734327236,0.0008303410373628143,1.0826368211503543,False,Other
Spironolactone,0.026011061080574216,0.025187862799594216,0.0008231982809800004,1.0326823394080606,False,Diuretic
Ciprofloxacin,0.03320835094626357,0.03241589464247227,0.0007924563037913016,1.024446535026462,False,Other
Daptomycin,0.01521529391175136,0.01443885825574398,0.0007764356560073793,1.0537740340860056,False,Other
Ciprofloxacin HCl,0.03240406475063548,0.031636814010285196,0.0007672507403502851,1.0242518333262272,False,Other
MetOLazone,0.01302091178617307,0.012336958864969867,0.0006839529212032038,1.0554393451975634,False,Other
CeftriaXONE,0.02710490512351195,0.026444285921752454,0.0006606192017594957,1.024981548139142,False,Other
AzaTHIOprine,0.029657514850524338,0.0289990252090825,0.0006584896414418388,1.0227073026315243,False,Other
Metoprolol Succinate XL,0.03520728999360639,0.034583782713181785,0.0006235072804246025,1.0180288919114377,False,Beta-blocker
Albuterol 0.083% Neb Soln,0.02479106270087262,0.02421417790101775,0.0005768847998548696,1.023824257103134,False,Other
Neomycin-Polymyxin-Bacitracin,0.012159997830167413,0.011587754569270393,0.0005722432608970193,1.0493834467649628,False,Other
Baclofen,0.02925888979091094,0.028692207344603246,0.0005666824463076946,1.019750395621419,False,Other
Bisacodyl,0.028463937457462844,0.0279563465630453,0.0005075908944175422,1.0181565532274703,False,Other
Lidocaine 5% Patch,0.025987361677565952,0.025486577540726925,0.0005007841368390269,1.0196489362307979,False,Other
Colchicine,0.03388701472431421,0.03339028591290116,0.0004967288114130497,1.0148764467818205,False,Other
Insulin Glargine  (CVICU Protocol),0.012723146643685667,0.012245258137297172,0.0004778885063884946,1.0390264134108305,False,Antidiabetic
Prochlorperazine,0.029989886628363722,0.029564100291786924,0.0004257863365767986,1.0144021408524002,False,Other
Acyclovir,0.027176277179803168,0.026750745620423306,0.0004255315593798617,1.015907278451894,False,Other
Fleet Enema (Saline),0.02956980456864195,0.029225995813153292,0.00034380875548865875,1.0117637995189859,False,Other
Artificial Tears,0.028036550550228533,0.027697251810293113,0.00033929873993542026,1.0122502673644078,False,Other
Pravastatin,0.03659044893212476,0.03625709170090227,0.000333357231222485,1.0091942628485613,True,Statin
QUEtiapine Fumarate,0.024688912940016666,0.024362102308077737,0.00032681063193892856,1.01341471387839,False,Other
Albumin 5% (12.5g / 250mL),0.01360896896570921,0.01329723751062856,0.00031173145508064937,1.023443324587643,False,Other
Multivitamins,0.034994595360010865,0.03469659611817051,0.0002979992418403535,1.0085887169111754,False,Other
Metoprolol Tartrate,0.022140455401739485,0.02184401320920046,0.00029644219253902385,1.013570866749621,False,Beta-blocker
Gabapentin,0.030872135165437634,0.03057622263486695,0.0002959125305706835,1.009677864205281,False,Other
GuaiFENesin,0.02561384350216637,0.025318614507125595,0.000295228995040777,1.0116605509735808,False,Other
Neostigmine (CVICU Reversal Protocol),0.012763536690423885,0.012470092065632344,0.00029344462479154176,1.0235318731607665,False,Other
Polyethylene Glycol,0.028873862393919075,0.02858737575912357,0.00028648663479550335,1.010021438736085,False,Other
Magnesium Sulfate Replacement (Critical Care and Oncology),0.017364417789941668,0.01709577576699307,0.0002686420229485974,1.0157139416549477,False,Other
Morphine Sulfate,0.03278247644297612,0.03251827366583975,0.00026420277713636725,1.0081247479448427,False,Other
Warfarin,0.023174508594569806,0.02291636028571554,0.0002581483088542648,1.0112648040803922,False,Anticoagulant
Atorvastatin,0.03652117059948051,0.036276516640545244,0.0002446539589352689,1.0067441414334095,True,Statin
Calcitriol,0.02605323232154348,0.025875438255472824,0.00017779406607065437,1.0068711518744247,False,Other
Acetaminophen-Caff-Butalbital,0.024691436093832765,0.02451824934946166,0.0001731867443711052,1.0070635852463465,False,Other
Heparin Flush (100 units/ml),0.028832716251707684,0.02868980175793864,0.00014291449376904394,1.0049813691629814,False,Anticoagulant
Senna,0.03216172458935924,0.0320423091811839,0.00011941540817533847,1.0037268040670884,False,Other
Chlorhexidine Gluconate 0.12% Oral Rinse,0.013185965077003889,0.013076648003710755,0.00010931707329313312,1.0083597167456149,False,Other
Tamsulosin,0.03605201133234682,0.03595239867386567,9.961265848115047e-05,1.0027706818503201,False,Other
Clindamycin,0.02811898693682686,0.028037697763035174,8.128917379168765e-05,1.002899281334677,False,Other
NORepinephrine,0.0136910598561859,0.01363126498957475,5.979486661114933e-05,1.0043865970368033,False,Other
CefTAZidime,0.014776543436926744,0.014722122878926555,5.4420558000188926e-05,1.0036965156756086,False,Other
