drug_name,avg_attention,n_patients,is_lipid_drug
ChlorproMAZINE,0.02687845506112684,11,False
Dolutegravir,0.026851909445418466,31,False
CeftriaXONE,0.02684065744280815,25,False
Chloraseptic Throat Spray,0.026838258673836077,56,False
LamiVUDine,0.02677182068250009,14,False
Labetalol,0.026716566113820235,286,False
Magnesium Citrate,0.026680728886276484,44,False
LORazepam,0.026679406806886144,1126,False
Tiotropium Bromide,0.026631136438844346,133,False
Vitamin D2 (Ergocalciferol),0.02662621760232882,11,False
Naloxone,0.026614738963544368,25,False
HYDROmorphone Infusion – Comfort Care Guidelines,0.02655343855307861,11,False
Lidocaine 5% Ointment,0.026483684056438507,40,False
Cinacalcet,0.02643647658474305,17,False
Cholestyramine,0.02643125118421657,14,True
Sulfameth/Trimethoprim SS,0.026424217799847775,77,False
Sarna Lotion,0.026409670225895788,98,False
Filgrastim-sndz,0.02636573649942875,26,False
Glycerin Supps,0.026320001855492593,10,False
HYDROmorphone (Dilaudid),0.026252963070936025,1410,False
Hydrocortisone (Rectal) 2.5% Cream,0.026234115473926067,14,False
Artificial Tears Preserv. Free,0.026147113647311926,28,False
Calcitriol,0.02600352645360975,93,False
Ranitidine,0.025957745171728587,210,False
Dextrose 50%,0.025921243454512157,1184,False
Lidocaine 5% Patch,0.02581445936505732,475,False
CARVedilol,0.02580004347526746,339,False
Spironolactone,0.025683068015496247,256,False
OLANZapine,0.025647737515152345,141,False
Zinc Sulfate,0.025613959630330405,30,False
Magnesium Oxide,0.025576033856912306,561,False
GuaiFENesin,0.025501466013731496,155,False
MethIMAzole,0.025387573521584272,12,False
Bengay Cream,0.02538134293122725,11,False
Hydrocortisone,0.02528829052037484,37,False
Aquaphor Ointment,0.025212947372347118,10,False
PredniSONE,0.025169996552184253,499,False
MetroNIDAZOLE,0.024987576262598548,384,False
Doxycycline Hyclate,0.024976899066851254,105,False
Digoxin,0.024956604583595676,87,False
LOPERamide,0.02482784227342219,111,False
ValGANCIclovir,0.02481798149113144,35,False
Fludrocortisone Acetate,0.024806721672189957,33,False
Promethazine,0.024794017378654745,36,False
Multivitamins W/minerals,0.02469196863964481,265,False
ALPRAZolam,0.02466746994836645,91,False
Acetaminophen-Caff-Butalbital,0.02463261795423503,53,False
2,0.024593780472598695,27,False
Albuterol 0.083% Neb Soln,0.02457756990092633,381,False
Dexamethasone,0.024549450731945633,281,False
QUEtiapine Fumarate,0.02453141384028706,332,False
Divalproex (DELayed Release),0.024490756722979058,39,False
Diphenoxylate-Atropine,0.024399907397175277,27,False
COVID-19 Vaccine,0.024380109865557064,11,False
Nystatin Cream,0.02427927212899222,17,False
LevoFLOXacin,0.024242390474339702,53,False
OxyCODONE SR (OxyCONTIN),0.024113605620668215,34,False
Venlafaxine,0.02410896693666776,15,False
Thiamine,0.02401683639391517,282,False
Methadone,0.02397205868284359,66,False
Lidocaine 2%,0.023949214443564414,10,False
LevETIRAcetam,0.023920813893068462,343,False
Azithromycin,0.023692286119879228,382,False
Potassium Chloride,0.02369065683953803,3474,False
Guaifenesin-Dextromethorphan,0.023675204387732914,28,False
Isosorbide Mononitrate,0.02362569635733962,10,False
Atovaquone Suspension,0.02355008853761398,46,False
Sodium Chloride Nasal,0.02354213915651246,98,False
GuaiFENesin-CODEINE Phosphate,0.023446996075411636,18,False
Ipratropium Bromide Neb,0.023424793300884112,63,False
Sodium Chloride 0.9%  (Mini Bag Plus),0.023379188363573382,14,False
Diclofenac Topical Gel 1%,0.023377334911908423,35,False
